Transaction ID,Date,Time,Items Purchased,Quantities,Total Price (INR),Payment Method
1,2023-02-24,11:13,"Fresh Lemonade, Mocha, Bagel with Cream Cheese, Caramel Drizzle","1, 1, 1, 1",550,Cash
2,2023-03-12,09:55,"Greek Salad, Iced Tea (Peach), Chocolate Fudge Cake, Oat Milk","2, 1, 1, 1",840,Cash
3,2023-08-08,13:00,"Bagel with Cream Cheese, Pancakes with Syrup, Avocado Toast, Vanilla Syrup","2, 1, 2, 1",1200,Cash
4,2023-07-31,19:59,"Cheesecake, Almond Milk","1, 1",320,Card
5,2023-06-01,08:11,"Affogato, Cappuccino, Soy Milk","2, 2, 1",740,Card
6,2023-04-06,12:23,"Lemon Tart, Pancakes with Syrup, Soy Milk","2, 1, 1",830,Cash
7,2023-07-24,10:58,"Grilled Cheese Sandwich, Oat Milk","1, 1",220,Cash
8,2023-07-08,08:47,"Chocolate Chip Cookies, Avocado Toast, Oat Milk","1, 2, 1",620,UPI
9,2023-05-28,09:39,"Brownies, Veggie Hummus Wrap, Caramel Drizzle","2, 2, 1",730,Mobile Wallet
10,2023-01-23,12:52,"Lemon Tart, Lemon Tart, Hot Chocolate","1, 1, 1",680,Cash
11,2023-05-22,12:26,Greek Salad,1,220,Mobile Wallet
12,2023-04-11,13:53,"Chocolate Fudge Cake, Cold Brew, Oat Milk","2, 1, 1",690,Mobile Wallet
13,2023-05-11,17:36,"Quinoa Bowl, Cheesecake, Chicken Caesar Wrap","1, 2, 2",1240,Mobile Wallet
14,2023-05-13,15:34,Veggie Hummus Wrap,1,220,Cash
15,2023-09-29,19:00,"Espresso, Lemon Tart, Pancakes with Syrup","1, 1, 1",620,Mobile Wallet
16,2023-11-07,11:27,"Matcha Latte, Cold Brew, Chocolate Chip Cookies, Vanilla Syrup","1, 1, 1, 1",440,Cash
17,2023-08-14,10:43,Espresso,2,200,Mobile Wallet
18,2023-04-10,16:07,Mocha,2,360,Cash
19,2023-10-12,16:05,Lemon Tart,1,270,Mobile Wallet
20,2023-02-11,19:21,"Matcha Latte, Masala Chai","1, 1",250,Card
21,2023-09-20,10:12,French Toast,2,540,UPI
22,2023-11-17,17:13,"Iced Americano, Avocado Toast","2, 2",740,UPI
23,2023-03-06,09:14,"Fresh Lemonade, Chicken Caesar Wrap, Cheesecake","2, 1, 2",980,UPI
24,2023-06-01,12:16,"Green Tea, Chocolate Fudge Cake, Pancakes with Syrup, Caramel Drizzle","1, 2, 1, 1",880,Mobile Wallet
25,2023-04-10,17:51,"Americano, Soy Milk","2, 1",280,Mobile Wallet
26,2023-06-17,08:17,"Bagel with Cream Cheese, Vanilla Milkshake, Greek Salad","1, 1, 1",610,Cash
27,2023-08-13,16:20,"Masala Chai, Greek Salad","1, 2",530,Mobile Wallet
28,2023-03-22,15:36,"Caesar Salad, Mocha, Avocado Toast","1, 1, 2",880,UPI
29,2023-07-04,10:08,"Club Sandwich, Grilled Cheese Sandwich, Lemon Tart, Caramel Drizzle","2, 2, 2, 1",1350,Card
30,2023-05-27,20:52,"Cappuccino, Grilled Cheese Sandwich, Brownies, Soy Milk","1, 1, 1, 1",490,Card
31,2023-10-28,10:29,"Chocolate Fudge Cake, Cheesecake","1, 2",810,Cash
32,2023-06-21,15:16,"Latte, Chocolate Fudge Cake","2, 1",590,Mobile Wallet
33,2023-09-05,18:46,"Avocado Toast, Affogato, Iced Americano","1, 1, 2",700,Mobile Wallet
34,2023-10-17,18:24,Chicken Caesar Wrap,2,440,UPI
35,2023-08-09,12:04,"Quinoa Bowl, Vanilla Syrup","1, 1",270,UPI
36,2023-02-25,20:42,"Brownies, Latte","1, 2",460,UPI
37,2023-11-23,20:22,"Veggie Hummus Wrap, Soy Milk","1, 1",260,Card
38,2023-11-24,18:21,"Omelet, French Toast","1, 1",470,Card
39,2023-02-07,10:40,"Chicken Caesar Wrap, Lemon Tart","2, 2",980,Cash
40,2023-01-28,10:54,Bagel with Cream Cheese,2,440,Mobile Wallet
41,2023-07-22,11:56,"Veggie Hummus Wrap, Soy Milk","1, 1",260,UPI
42,2023-12-01,18:57,"Strawberry Milkshake, Club Sandwich, Almond Milk","2, 2, 1",780,UPI
43,2023-05-24,18:27,"Fresh Lemonade, Lemon Tart, Omelet","1, 1, 1",570,Mobile Wallet
44,2023-09-24,08:58,Chicken Caesar Wrap,2,440,UPI
45,2023-02-08,14:01,"Omelet, Avocado Toast, Chocolate Fudge Cake, Almond Milk","2, 1, 1, 1",930,Card
46,2023-09-29,19:21,"Brownies, Chocolate Chip Cookies","1, 2",320,Mobile Wallet
47,2023-03-13,20:20,"Brownies, Iced Tea (Peach), Flat White, Caramel Drizzle","1, 2, 1, 1",550,UPI
48,2023-09-13,17:58,"Iced Tea (Peach), Flat White, Oat Milk","1, 2, 1",470,Card
49,2023-04-24,08:00,"Espresso, Chocolate Milkshake, Green Tea","2, 1, 1",450,Card
50,2023-05-15,08:54,"Cold Brew, Grilled Cheese Sandwich, Cheesecake, Caramel Drizzle","2, 1, 2, 1",1090,Mobile Wallet
51,2023-02-22,20:10,"Pancakes with Syrup, Iced Tea (Peach), Vanilla Syrup","2, 1, 1",640,Cash
