Transaction ID,Date,Time,Items Purchased,Quantity,Total Price (INR),Payment Method,Item
1,2023-02-24,11:13:00,"Fresh Lemonade, Mocha, Bagel with Cream Cheese, Caramel Drizzle",1,550,Cash,Fresh Lemonade
1,2023-02-24,11:13:00,"Fresh Lemonade, Mocha, Bagel with Cream Cheese, Caramel Drizzle",1,550,Cash,Mocha
1,2023-02-24,11:13:00,"Fresh Lemonade, Mocha, Bagel with Cream Cheese, Caramel Drizzle",1,550,Cash,Bagel with Cream Cheese
1,2023-02-24,11:13:00,"Fresh Lemonade, Mocha, Bagel with Cream Cheese, Caramel Drizzle",1,550,Cash,Caramel Drizzle
2,2023-03-12,09:55:00,"Greek Salad, Iced Tea (Peach), Chocolate Fudge Cake, Oat Milk",2,840,Cash,Greek Salad
2,2023-03-12,09:55:00,"Greek Salad, Iced Tea (Peach), Chocolate Fudge Cake, Oat Milk",1,840,Cash,Iced Tea (Peach)
2,2023-03-12,09:55:00,"Greek Salad, Iced Tea (Peach), Chocolate Fudge Cake, Oat Milk",1,840,Cash,Chocolate Fudge Cake
2,2023-03-12,09:55:00,"Greek Salad, Iced Tea (Peach), Chocolate Fudge Cake, Oat Milk",1,840,Cash,Oat Milk
3,2023-08-08,13:00:00,"Bagel with Cream Cheese, Pancakes with Syrup, Avocado Toast, Vanilla Syrup",2,1200,Cash,Bagel with Cream Cheese
3,2023-08-08,13:00:00,"Bagel with Cream Cheese, Pancakes with Syrup, Avocado Toast, Vanilla Syrup",1,1200,Cash,Pancakes with Syrup
3,2023-08-08,13:00:00,"Bagel with Cream Cheese, Pancakes with Syrup, Avocado Toast, Vanilla Syrup",2,1200,Cash,Avocado Toast
3,2023-08-08,13:00:00,"Bagel with Cream Cheese, Pancakes with Syrup, Avocado Toast, Vanilla Syrup",1,1200,Cash,Vanilla Syrup
4,2023-07-31,19:59:00,"Cheesecake, Almond Milk",1,320,Card,Cheesecake
4,2023-07-31,19:59:00,"Cheesecake, Almond Milk",1,320,Card,Almond Milk
5,2023-06-01,08:11:00,"Affogato, Cappuccino, Soy Milk",2,740,Card,Affogato
5,2023-06-01,08:11:00,"Affogato, Cappuccino, Soy Milk",2,740,Card,Cappuccino
5,2023-06-01,08:11:00,"Affogato, Cappuccino, Soy Milk",1,740,Card,Soy Milk
6,2023-04-06,12:23:00,"Lemon Tart, Pancakes with Syrup, Soy Milk",2,830,Cash,Lemon Tart
6,2023-04-06,12:23:00,"Lemon Tart, Pancakes with Syrup, Soy Milk",1,830,Cash,Pancakes with Syrup
6,2023-04-06,12:23:00,"Lemon Tart, Pancakes with Syrup, Soy Milk",1,830,Cash,Soy Milk
7,2023-07-24,10:58:00,"Grilled Cheese Sandwich, Oat Milk",1,220,Cash,Grilled Cheese Sandwich
7,2023-07-24,10:58:00,"Grilled Cheese Sandwich, Oat Milk",1,220,Cash,Oat Milk
8,2023-07-08,08:47:00,"Chocolate Chip Cookies, Avocado Toast, Oat Milk",1,620,UPI,Chocolate Chip Cookies
8,2023-07-08,08:47:00,"Chocolate Chip Cookies, Avocado Toast, Oat Milk",2,620,UPI,Avocado Toast
8,2023-07-08,08:47:00,"Chocolate Chip Cookies, Avocado Toast, Oat Milk",1,620,UPI,Oat Milk
9,2023-05-28,09:39:00,"Brownies, Veggie Hummus Wrap, Caramel Drizzle",2,730,Mobile Wallet,Brownies
9,2023-05-28,09:39:00,"Brownies, Veggie Hummus Wrap, Caramel Drizzle",2,730,Mobile Wallet,Veggie Hummus Wrap
9,2023-05-28,09:39:00,"Brownies, Veggie Hummus Wrap, Caramel Drizzle",1,730,Mobile Wallet,Caramel Drizzle
10,2023-01-23,12:52:00,"Lemon Tart, Lemon Tart, Hot Chocolate",1,680,Cash,Lemon Tart
10,2023-01-23,12:52:00,"Lemon Tart, Lemon Tart, Hot Chocolate",1,680,Cash,Lemon Tart
